ts_code,ann_date,end_date,type,p_change_min,p_change_max,net_profit_min,net_profit_max,last_parent_net,first_ann_date,summary,change_reason,update_flag
002466.SZ,20260130,20251231,扭亏,104.6682,106.9959,36900.0,55300.0,-790458.03,20260130,预计:净利润36900-55300,1、尽管受锂产品市场波动的影响，公司锂产品销售价格较上年同期下降，但得益于公司控股子公司WindfieldHoldingsPtyLtd锂矿定价周期缩短，其全资子公司TalisonLithiumPtyLtd化学级锂精矿定价机制与公司锂化工产品销售定价机制在以前年度存在的时间周期错配的影响已大幅减弱。随着国内新购锂精矿陆续入库及库存锂精矿的逐步消化，公司各锂化工产品生产基地生产成本中耗用的化学级锂精矿成本基本贴近最新采购价格。2、截至本业绩预告公告日，公司重要的联营公司SociedadQuímicayMineradeChileS.A.（以下简称“SQM”）尚未公告其2025年第四季度业绩报告。公司全面考虑所能获取的可靠信息，沿用一贯方式，采用彭博社预测的SQM2025年第四季度每股收益等信息为基础来计算同期公司对SQM的投资收益。根据前述预测数据，SQM2025年业绩预计将同比增长，因此公司在本报告期确认的对该联营公司的投资收益较上年同期大幅增长。3、2025年以来澳元持续走强，本报告期内澳元兑美元的汇率变动导致汇兑收益金额较2024年度增加。4、结合市场状况、公司经营预测等情况，根据《企业会计准则第8号——资产减值》及相关会计政策规定，公司将针对在2025年资产负债表日存在减值迹象的资产进行减值测试。经财务部门基于当前情况的初步测算，预计本期计提的资产减值损失较2024年度减少。,1
002466.SZ,20260130,20251231,扭亏,104.6682,106.9959,36900.0,55300.0,-790458.03,20260130,预计:净利润36900-55300,1、尽管受锂产品市场波动的影响，公司锂产品销售价格较上年同期下降，但得益于公司控股子公司WindfieldHoldingsPtyLtd锂矿定价周期缩短，其全资子公司TalisonLithiumPtyLtd化学级锂精矿定价机制与公司锂化工产品销售定价机制在以前年度存在的时间周期错配的影响已大幅减弱。随着国内新购锂精矿陆续入库及库存锂精矿的逐步消化，公司各锂化工产品生产基地生产成本中耗用的化学级锂精矿成本基本贴近最新采购价格。2、截至本业绩预告公告日，公司重要的联营公司SociedadQuímicayMineradeChileS.A.（以下简称“SQM”）尚未公告其2025年第四季度业绩报告。公司全面考虑所能获取的可靠信息，沿用一贯方式，采用彭博社预测的SQM2025年第四季度每股收益等信息为基础来计算同期公司对SQM的投资收益。根据前述预测数据，SQM2025年业绩预计将同比增长，因此公司在本报告期确认的对该联营公司的投资收益较上年同期大幅增长。3、2025年以来澳元持续走强，本报告期内澳元兑美元的汇率变动导致汇兑收益金额较2024年度增加。4、结合市场状况、公司经营预测等情况，根据《企业会计准则第8号——资产减值》及相关会计政策规定，公司将针对在2025年资产负债表日存在减值迹象的资产进行减值测试。经财务部门基于当前情况的初步测算，预计本期计提的资产减值损失较2024年度减少。,0
002466.SZ,20250715,20250630,扭亏,100.0,102.98,0.0,15500.0,-520576.91,20250715,预计:净利润0-15500,天齐锂业股份有限公司（以下简称“公司”）报告期业绩变动的主要原因：1、尽管受锂产品市场波动的影响，公司锂产品销售价格较上年同期下降，但得益于公司控股子公司WindfieldHoldingsPtyLtd锂矿定价周期缩短，其全资子公司TalisonLithiumPtyLtd化学级锂精矿定价机制与公司锂化工产品销售定价机制在以前年度存在的时间周期错配的影响已大幅减弱。随着国内新购锂精矿陆续入库及库存锂精矿的逐步消化，公司各锂化工产品生产基地生产成本中耗用的化学级锂精矿成本基本贴近最新采购价格。2、截至本业绩预告公告日，公司重要的联营公司SociedadQuímicayMineradeChileS.A.（以下简称“SQM”）尚未公告其2025年第二季度业绩报告。公司全面考虑所能获取的可靠信息，沿用一贯方式，采用彭博社预测的SQM2025年第二季度每股收益等信息为基础来计算同期公司对SQM的投资收益。根据前述预测数据，SQM2025年上半年业绩预计将同比增长，因此公司在本报告期确认的对该联营公司的投资收益较上年同期增长。3、2025年以来澳元持续走强，本报告期内澳元兑美元的汇率变动导致汇兑收益金额较上年同期增加。,0
002466.SZ,20250424,20250331,扭亏,102.1043,103.1564,8200.0,12300.0,-389678.48,20250424,预计净利润8200-12300万,1、尽管受锂产品市场波动的影响，公司2025年第一季度锂产品销售价格较上年同期下降，但得益于公司控股子公司WindfieldHoldingsPtyLtd锂矿定价周期缩短，其全资子公司TalisonLithiumPtyLtd化学级锂精矿定价机制与公司锂化工产品销售定价机制在以前年度存在的时间周期错配的影响已大幅减弱。随着国内新购锂精矿陆续入库及库存锂精矿的逐步消化，公司各生产基地生产成本中耗用的化学级锂精矿成本基本贴近最新采购价格。同时，受自产工厂爬坡及技改的积极影响，公司2025年第一季度锂化合物及衍生品的产销量实现同比增长。2、截至本业绩预告公告日，公司重要的联营公司SociedadQuímicayMineradeChileS.A.（以下简称“SQM”）尚未公告其2025年第一季度业绩报告。公司全面考虑所能获取的可靠信息，沿用一贯方式，采用彭博社预测的SQM2025年第一季度每股收益等信息为基础来计算同期公司对SQM的投资收益。鉴于SQM税务争议裁决对其净利润的影响已于2024年度确认，根据前述彭博社预测数据，SQM2025年第一季度业绩预计将同比增长，因此公司在本报告期确认的对该联营公司的投资收益较上年同期增长。,1
002466.SZ,20250424,20250331,扭亏,102.1043,103.1564,8200.0,12300.0,-389678.48,20250424,预计:净利润8200-12300,1、尽管受锂产品市场波动的影响，公司2025年第一季度锂产品销售价格较上年同期下降，但得益于公司控股子公司WindfieldHoldingsPtyLtd锂矿定价周期缩短，其全资子公司TalisonLithiumPtyLtd化学级锂精矿定价机制与公司锂化工产品销售定价机制在以前年度存在的时间周期错配的影响已大幅减弱。随着国内新购锂精矿陆续入库及库存锂精矿的逐步消化，公司各生产基地生产成本中耗用的化学级锂精矿成本基本贴近最新采购价格。同时，受自产工厂爬坡及技改的积极影响，公司2025年第一季度锂化合物及衍生品的产销量实现同比增长。2、截至本业绩预告公告日，公司重要的联营公司SociedadQuímicayMineradeChileS.A.（以下简称“SQM”）尚未公告其2025年第一季度业绩报告。公司全面考虑所能获取的可靠信息，沿用一贯方式，采用彭博社预测的SQM2025年第一季度每股收益等信息为基础来计算同期公司对SQM的投资收益。鉴于SQM税务争议裁决对其净利润的影响已于2024年度确认，根据前述彭博社预测数据，SQM2025年第一季度业绩预计将同比增长，因此公司在本报告期确认的对该联营公司的投资收益较上年同期增长。,0
002466.SZ,20250124,20241231,首亏,-212.3701,-197.2961,-820000.0,-710000.0,729731.5,20250124,预计:净利润-820000--710000,2024年度公司业绩变动的主要原因是：1、尽管公司2024年度及2024年第四季度锂化合物及衍生品的产销量分别实现同比、环比增长，但受到锂产品市场波动的影响，本报告期内锂产品的市场价格整体呈现大幅下滑趋势，公司锂产品销售价格及毛利较上年同期大幅下降。同时受公司控股子公司TalisonLithiumPtyLtd（以下简称“泰利森”）化学级锂精矿定价机制与公司锂化工产品销售定价机制存在时间周期的错配影响，本报告期公司经营业绩出现阶段性亏损。2024年，化学级锂精矿的市场价格逐步降低，公司向泰利森新采购的锂精矿价格也随之下降。随新购低价锂精矿陆续入库及库存锂精矿的逐步消化，公司各基地生产成本中耗用的化学级锂精矿成本正逐渐贴近最新采购价格，锂精矿定价机制的阶段性错配也逐步减弱。2、截至本业绩预告公告日，公司重要的联营公司SociedadQuímicayMineradeChileS.A.（以下简称“SQM”）尚未公告其2024年第四季度业绩报告。公司全面考虑所能获取的可靠信息，沿用一贯方式，通过财务测算模型并采用彭博社预测的SQM2024年第四季度每股收益等信息为基础来计算同期公司对SQM的投资收益。此外，SQM于2024年第一季度业绩报告中披露，智利圣地亚哥法院于2024年4月对其2017年和2018年税务年度的税务诉讼进行了裁决，撤销了税务和海关法庭在2022年11月7日对于该案件的裁决结论，导致其确认了约11亿美元的所得税费用，并相应减少其净利润约11亿美元。根据前述彭博社预测数据，预计SQM2024年度业绩将同比大幅下降，因此公司在本报告期确认的对该联营公司的投资收益较2023年度大幅下降。3、公司根据《企业会计准则第8号—资产减值》等相关规定，对“年产2.4万吨电池级单水氢氧化锂项目”和“第二期年产2.4万吨电池级单水氢氧化锂项目”（以下合并简称“氢氧化锂项目”）进行分析和评估，并据此执行减值测试。基于谨慎性原则，预计公司本报告期计提的资产减值损失较2023年度增加。4、2024年以来美元持续走强，本报告期内澳元及人民币兑美元的汇率变动导致汇兑损失金额较2023年度增加。,0
002466.SZ,20241025,20240930,首亏,-172.2355,-167.2963,-585000.0,-545000.0,809851.38,20241025,预计:净利润-585000--545000,天齐锂业股份有限公司（以下简称“公司”）2024年前三季度业绩变动的主要原因是：1、受锂产品市场波动的影响，2023年第四季度至2024年第三季度期间，锂产品的市场价格整体呈现大幅下滑趋势，公司锂产品销售价格及毛利较上年同期大幅下降。受公司控股子公司TalisonLithiumPtyLtd（以下简称“泰利森”）化学级锂精矿定价机制与公司锂化工产品销售定价机制存在时间周期的错配影响，本报告期公司经营业绩出现阶段性亏损。2024年前三季度，化学级锂精矿的市场价格降低，公司向泰利森新采购的锂精矿价格也随之降低。随新购低价锂精矿逐步入库及库存锂精矿的逐步消化，公司各基地生产成本中耗用的化学级锂精矿成本正逐步贴近最新采购价格，锂精矿定价机制的阶段性错配也逐步减弱，公司2024年第二季度及第三季度亏损均实现环比减少。同时，受新建工厂产能稳步提升的积极影响，2024年前三季度及2024年第三季度锂化合物及衍生品的产销量均实现同比、环比增长。2、截至本业绩预告公告日，公司重要的联营公司SociedadQuímicayMineradeChileS.A.（以下简称“SQM”）尚未公告其2024年第三季度业绩报告。公司全面考虑所能获取的可靠信息，沿用一贯方式，通过财务测算模型并采用彭博社预测的SQM2024年第三季度每股收益等信息为基础来计算同期公司对SQM的投资收益。此外，SQM于2024年第一季度业绩报告中披露，智利圣地亚哥法院于2024年4月对其2017年和2018年税务年度的税务诉讼进行了裁决，撤销了税务和海关法庭在2022年11月7日对于该案件的裁决结论，导致其确认了约11亿美元的所得税费用，并相应减少净利润约11亿美元。根据前述彭博社预测数据，结合SQM2024年上半年已披露的业绩，SQM2024年前三季度业绩预计将同比大幅下降，因此公司在本报告期确认的对该联营公司的投资收益较上年同期大幅下降。,0
002466.SZ,20240710,20240630,首亏,-185.7037,-175.63,-553000.0,-488000.0,645246.25,20240710,预计:净利润-553000--488000,天齐锂业股份有限公司（以下简称“公司”）报告期业绩变动的主要原因：1、受锂产品市场波动的影响，公司锂产品销售价格较上年同期大幅下降，锂产品毛利大幅下降。受公司控股子公司TalisonLithiumPtyLtd（以下简称“泰利森”）化学级锂精矿定价机制与公司锂化工产品销售定价机制存在时间周期的错配影响，本报告期公司经营业绩出现阶段性亏损。但2024年上半年，化学级锂精矿的市场价格降低，随着公司从泰利森新采购的低价锂精矿逐步入库及对现有锂精矿库存的逐步消化，公司各生产基地的化学级锂精矿出库成本逐步贴近最新采购价格，锂精矿定价机制的阶段性错配也逐步减弱，公司2024年第二季度亏损环比减少。同时，受自产工厂顺利爬坡及委外加工的积极影响，2024年上半年及2024年第二季度锂化合物及衍生品的产销量均实现同比、环比增长。2、截至本业绩预告公告日，公司重要的联营公司SociedadQuímicayMineradeChileS.A.（以下简称“SQM”）尚未公告其2024年第二季度业绩报告。公司全面考虑所能获取的可靠信息，沿用一贯方式，通过财务测算模型并采用彭博社预测的SQM2024年第二季度每股收益等信息为基础来计算同期公司对SQM的投资收益。此外，SQM于2024年第一季度业绩报告中披露，智利圣地亚哥法院于2024年4月对其2017年和2018年税务年度的税务诉讼进行了裁决，撤销了税务和海关法庭在2022年11月7日对于该案件的裁决结论，导致其确认了约11亿美元的所得税费用，并相应减少净利润约11亿美元。根据前述彭博社预测数据，结合SQM2024年第一季度已披露的业绩，SQM2024年半年度业绩预计将同比大幅下降，因此公司在本报告期确认的对该联营公司的投资收益较上年同期大幅下降。,1
002466.SZ,20240710,20240630,首亏,-185.7037,-175.63,-553000.0,-488000.0,645246.25,20240710,预计:净利润-553000--488000,天齐锂业股份有限公司（以下简称“公司”）报告期业绩变动的主要原因：1、受锂产品市场波动的影响，公司锂产品销售价格较上年同期大幅下降，锂产品毛利大幅下降。受公司控股子公司TalisonLithiumPtyLtd（以下简称“泰利森”）化学级锂精矿定价机制与公司锂化工产品销售定价机制存在时间周期的错配影响，本报告期公司经营业绩出现阶段性亏损。但2024年上半年，化学级锂精矿的市场价格降低，随着公司从泰利森新采购的低价锂精矿逐步入库及对现有锂精矿库存的逐步消化，公司各生产基地的化学级锂精矿出库成本逐步贴近最新采购价格，锂精矿定价机制的阶段性错配也逐步减弱，公司2024年第二季度亏损环比减少。同时，受自产工厂顺利爬坡及委外加工的积极影响，2024年上半年及2024年第二季度锂化合物及衍生品的产销量均实现同比、环比增长。2、截至本业绩预告公告日，公司重要的联营公司SociedadQuímicayMineradeChileS.A.（以下简称“SQM”）尚未公告其2024年第二季度业绩报告。公司全面考虑所能获取的可靠信息，沿用一贯方式，通过财务测算模型并采用彭博社预测的SQM2024年第二季度每股收益等信息为基础来计算同期公司对SQM的投资收益。此外，SQM于2024年第一季度业绩报告中披露，智利圣地亚哥法院于2024年4月对其2017年和2018年税务年度的税务诉讼进行了裁决，撤销了税务和海关法庭在2022年11月7日对于该案件的裁决结论，导致其确认了约11亿美元的所得税费用，并相应减少净利润约11亿美元。根据前述彭博社预测数据，结合SQM2024年第一季度已披露的业绩，SQM2024年半年度业绩预计将同比大幅下降，因此公司在本报告期确认的对该联营公司的投资收益较上年同期大幅下降。,0
002466.SZ,20240424,20240331,首亏,-188.201,-173.8427,-430000.0,-360000.0,487522.65,20240424,预计:净利润-430000--360000,天齐锂业股份有限公司（以下简称“公司”）报告期业绩变动的主要原因：1、受锂产品市场波动的影响，公司锂产品销售价格较上年同期大幅下降，锂产品毛利大幅下降；2、截至本业绩预告公告日，公司重要的联营公司SociedadQuímicayMineradeChileS.A.（以下简称“SQM”）尚未公告其2024年第一季度业绩报告。公司全面考虑所能获取的可靠信息，沿用一贯方式，采用彭博社预测的SQM2024年第一季度每股收益等信息为基础来计算同期公司对SQM的投资收益。此外，SQM发布公告称，智利圣地亚哥法院于2024年4月对其2017年和2018年税务年度的税务诉讼进行了裁决，撤销了税务和海关法庭在2022年11月7日对于该案件的裁决结论。SQM基于最新裁决情况重新审视所有税务争议金额的会计处理，并预计可能将减少其2024年第一季度的净利润约11亿美元。基于谨慎性原则并经反复论证，公司认为将上述SQM税务争议裁决影响确认在本报告期对该联营公司的投资收益中更符合会计准则规定，该事项预计将使公司归母净利润减少。根据前述彭博社预测数据，结合SQM税务争议裁决的影响，SQM2024年第一季度业绩预计将同比大幅下降，因此公司在本报告期确认的对该联营公司的投资收益较上年同期大幅下降。,1
