ts_code,ann_date,end_date,type,p_change_min,p_change_max,net_profit_min,net_profit_max,last_parent_net,first_ann_date,summary,change_reason,update_flag
688033.SH,20251024,20250930,续亏,28.47,45.5,-42000.0,-32000.0,-58720.19,20251024,预计:净利润-42000--32000,报告期内，公司光伏新能源业务受行业周期性影响，持续低迷，尚未出现明显改善，导致公司报告期内的营业收入规模较去年同期进一步下滑。此外，受公司主要产品单价低位徘徊、折旧摊销等固定费用及融资成本较高等因素的共同影响，导致公司毛利减少、净利润持续处于亏损状态。同时，报告期内净利润较去年同期有所减亏，主要原因系去年同期公司计提了较大额度的存货减值，而本报告期内公司未计提大额存货减值。,0
688550.SH,20251024,20250930,预增,51.54,51.54,28081.0,28081.0,18530.34,20251024,预计:净利润28081,报告期内，显示材料板块保持平稳发展，为公司整体业绩提供了坚实基础。医药与电子材料板块营业收入实现较大幅度增长，提升了公司整体营收规模，有效推动了公司净利润水平的提升，盈利能力得到进一步增强。,0
600183.SH,20251024,20250930,预增,76.0,79.0,242000.0,246000.0,137225.0,20251024,预计:净利润242000-246000,1、在报告期内，公司覆铜板销量同比上升，覆铜板产品营业收入增加，同时持续优化产品结构提升毛利率，推动盈利水平提升。2、在报告期内，下属子公司生益电子股份有限公司围绕“市场引领，双轮驱动”的经营理念，着力推动市场、技术、质量管理等综合能力进一步提升，报告期内高附加值产品占比提升，持续巩固了公司在中高端市场的竞争优势，实现营业收入及净利润较上年同期大幅增长。,1
600183.SH,20251024,20250930,预增,76.0,79.0,242000.0,246000.0,137225.0,20251024,预计:净利润242000-246000,1、在报告期内，公司覆铜板销量同比上升，覆铜板产品营业收入增加，同时持续优化产品结构提升毛利率，推动盈利水平提升。2、在报告期内，下属子公司生益电子股份有限公司围绕“市场引领，双轮驱动”的经营理念，着力推动市场、技术、质量管理等综合能力进一步提升，报告期内高附加值产品占比提升，持续巩固了公司在中高端市场的竞争优势，实现营业收入及净利润较上年同期大幅增长。,0
688183.SH,20251024,20250930,预增,476.0,519.0,107400.0,115370.0,18652.0,20251024,预计:净利润107400-115370,公司围绕“市场引领，双轮驱动”的经营理念，着力推动市场、技术、质量管理等综合能力进一步提升，报告期内高附加值产品占比提升，持续巩固了公司在中高端市场的竞争优势，实现营业收入及净利润较上年同期大幅增长。,0
002669.SZ,20251022,20250930,扭亏,204.61,217.68,8000.0,9000.0,-7647.71,20251022,预计:净利润8000-9000,"1、报告期内，胶粘剂与特种树脂新材料板块产品销售总量稳步增长，带动净利润同步提升。其中，受益于风电行业景气度上升，风电叶片系列产品需求旺盛，成为拉动板块业务增长的主要动力。2、报告期内，公司通过持续优化资产结构、提升资产运营效率、降低管理成本等举措，进一步增强了盈利能力。3、报告期内，公司非经常性损益预计约为4,100万元，主要来源于收到的政府补助、处置子公司股权产生的投资收益及参股公司分红等。",0
688813.SH,20251021,20250930,略增,4.07,4.07,14062.0,14062.0,13512.88,20250822,预计:净利润14062,公司在手订单中部分客户试运行完成并验收，导致公司2025年1-9月收入较上年同期有所增长。公司深耕行业多年，打破国外技术垄断，实现了阴极辊的进口替代，且采用旋压技术生产的阴极辊表面精粒度高，产出的铜箔品质优异，产品竞争力持续提升，不断满足下游新能源产业客户技术升级、降本增效的需求，公司业绩得以实现增长。,0
600150.SH,20251021,20250930,预增,104.3,126.39,555000.0,615000.0,271658.0,20251021,预计:净利润555000-615000,报告期内，公司聚焦主责主业，在确保生产安全的前提下，狠抓生产保交付，提升精益管理水平，生产效率稳步提升；船舶行业整体保持良好发展态势，公司手持订单结构升级优化；报告期内交付的民品船舶数量、价格均同比提升，建造成本管控得当，营业毛利同比增加；联营企业的经营业绩持续改善。,0
603969.SH,20251021,20250930,预增,55.0,75.0,26143.0,29516.0,16866.39,20251021,预计:净利润26143-29516,2025年前三季度，公司充分发挥在预应力材料及轨道交通用混凝土制品两大核心主业的领先优势，业绩表现强劲。同时，在新能源材料和专业技术领域实现关键性战略突破，为公司发展注入新动能。公司以技术创新与市场拓展双轮驱动，通过持续优化产品结构，扩大高性能产品比重，核心竞争力得到实质性提升，推动公司经营业绩实现显著增长，全面夯实高质量发展根基。2025年前三季度公司业绩增长的主要原因包括以下方面：第一，预应力材料产业方面，公司持续夯实主业根基，积极推动产品结构优化与市场拓展，竞争力进一步增强。伴随铁路、水利、桥梁、公路及新能源等国家重大项目加速推进，公司紧抓市场机遇，不断拓展产品应用场景，带动预应力材料整体销量稳步提升。以轨道板用预应力钢丝、超高强钢绞线、桥梁缆索用镀锌钢丝及钢绞线为代表的高性能产品市场规模持续扩大，显著优化产品结构。此外，公司在公路、铁路、轨枕及水利等传统基建领域持续深耕，轨枕钢丝、PCCP管用钢丝等传统产品销量实现同比增长，市场份额得到进一步巩固，为开拓新应用场景打下坚实基础。第二，轨道交通用混凝土制品产业实现业绩显著增长，重点项目顺利推进对业绩形成有力支撑。控股子公司银龙轨道积极参与雄安新区—商丘、雄安新区—忻州、天津—潍坊—宿迁等重大铁路项目建设；阳江轨枕厂持续为广州—湛江高铁稳定供应SK-2双块式轨枕；赣州板场有效助力广州、深圳等地区地铁工程建设。同时，公司致力于推动轨道混凝土构件智能化升级，配套提供智能生产装备，通过自主技术攻关与产学研协同，成功实现技术装备向国内同行输出及海外市场拓展，为利润增长贡献新增量。第三，在新能源产业方向，公司围绕国家“双碳”目标稳步推进战略布局，相关业务逐步成长为新的业绩增长点。公司预应力材料产品已成功应用于风电混凝土塔筒、大跨度柔性光伏支架系统以及LNG/LPG储罐等新兴领域，带动新能源用预应力材料销售实现同比显著提升，为公司整体业绩增长持续注入新动能。,0
688378.SH,20251021,20250930,预减,-71.36,-66.42,2900.0,3400.0,10125.11,20251021,预计:净利润2900-3400,"（一）营业收入的影响：材料板块：公司主动推进积极的业务拓展策略：一方面通过市场挖掘将潜在需求转化为实际订单，另一方面在原有优势材料产品保持稳定供应的基础上，实现了新品类的有效突破——其中电子功能材料成功导入客户、PSPI材料持续稳定供货等，推动整体材料销售收入同比提升。设备板块：2025年前三季度，公司蒸发源设备销售收入出现较为显著的下降，主要系6代线处于建设收尾期，而8.6代线处于产线建设攻坚期，行业世代线切换的需求空窗，导致蒸发源业务短期承压。随着京东方等头部企业产线建设的持续推进及设备安装调试的逐步落地，叠加后续行业增量需求的释放，公司蒸发源设备业务有望稳步脱离阶段性调整。（二）非经营性损益的影响：2024年上半年，公司处置参股公司长春显光芯工业软件有限责任公司部分股权累计实现投资收益1,252.99万元，占2024年前三季度利润总额的12.03%。2025年前三季度，公司未发生股权转让收益。",0
688522.SH,20251021,20250930,预增,181.0,181.0,7315.0,7315.0,2600.87,20251021,预计:净利润7315,报告期内，公司凭借产品技术、品牌等优势，获得不同领域客户认可，公司新签水利测雨雷达合同金额大幅增长；存量订单加速确认落地，促使营业收入大幅增长，继续保持业绩快速增长，盈利能力显著提升。,0
601628.SH,20251020,20250930,预增,50.0,70.0,15678500.0,17768900.0,10452300.0,20251020,预计:净利润15678500-17768900,公司积极发挥经济“减震器”和社会“稳定器”功能，做实做优“五篇大文章”，聚焦价值创造与效益提升，持续深化资负联动，深入推进产品和业务多元，可持续发展能力进一步增强。公司投资坚持服务实体经济，践行长期投资、价值投资、稳健投资理念，稳健开展跨周期投资布局，持续提升投资专业能力，不断增强投资组合收益稳定性，提升长期回报潜力。今年以来，股票市场回稳向好势头不断巩固，公司积极推进中长期资金入市，把握市场机会坚决加大权益投资力度，前瞻布局新质生产力相关领域，持续优化资产配置结构，投资收益同比大幅提升。,0
002616.SZ,20251020,20250930,预增,55.25,65.0,19100.0,20300.0,12302.82,20251020,预计:净利润19100-20300,公司2025年前三季度业绩较上年同期增加的主要原因：1、取得资源综合利用增值税优惠政策的项目增加，即征即退税额增加;2、燃料成本同比下降。,0
688772.SH,20251020,20250930,预增,36.88,55.54,36700.0,41700.0,26800.0,20251020,预计:净利润36700-41700,2025年前三季度归属于上市公司股东的净利润、归属于上市公司股东的扣除非经常性损益的净利润较上年同期有较大幅度的增长，主要系客户份额提升、持续推进精细化运营带来的成本费用管控优化等综合因素所致。,0
002616.SZ,20251020,20250930,预增,55.25,65.0,19100.0,20300.0,12302.82,20251020,预计:净利润19100-20300,公司2025年前三季度业绩较上年同期增加的主要原因：1、取得资源综合利用增值税优惠政策的项目增加，即征即退税额增加;2、燃料成本同比下降。,1
688772.SH,20251020,20250930,预增,36.88,55.54,36700.0,41700.0,26800.0,20251020,预计:净利润36700-41700,2025年前三季度归属于上市公司股东的净利润、归属于上市公司股东的扣除非经常性损益的净利润较上年同期有较大幅度的增长，主要系客户份额提升、持续推进精细化运营带来的成本费用管控优化等综合因素所致。,1
688213.SH,20251018,20250930,预增,140.0,169.0,65603.0,73603.0,27324.0,20251018,预计:净利润65603-73603,报告期内，在智能手机领域，公司与多家客户的合作持续全面加深、产品满足更多的应用需求，公司创新研发推出的基于LoficHDR？2.0技术的多款高阶5000万像素产品出货量大幅上升，以及基于国产StackedBSI平台的多款产品量产出货，带动公司智能手机领域营业收入显著增长；在汽车电子领域，公司应用于智能驾驶（包括环视、周视和前视）和舱内等新一代产品出货量同比大幅上升；在智慧安防领域，公司的高端安防产品系列在专业安防领域的份额持续提升，同时，作为机器视觉领域的先行者与引领者，公司紧抓市场发展机遇，新兴机器视觉领域收入实现大幅增长。故公司随着收入规模增长，提高了盈利能力，净利润率显著提升。,0
600323.SH,20251018,20250930,略增,15.85,15.85,160500.0,160500.0,138500.0,20251018,预计:净利润160500,在去年同期含一次性往期收益约1.3亿元的情况下，本期公司归属于母公司所有者的净利润仍实现同比增加2.2亿元左右，增幅为15.85%左右，主要是：（一）本期6月份起新增并表粤丰环保电力有限公司（公司穿透持股52.44%），增加6-9月归母净利润约2.4亿元；（二）持续落实降本增效举措取得良好成效，保持较高运营效率，及本期新增确认子公司江西瀚蓝能源有限公司原股东业绩赔偿收入。,0
