ts_code,ann_date,end_date,type,p_change_min,p_change_max,net_profit_min,net_profit_max,last_parent_net,first_ann_date,summary,change_reason,update_flag
600596.SH,20260415,20260331,预增,171.65,201.84,9000.0,10000.0,3313.05,20260415,预计:净利润9000-10000,2026年一季度业绩预增的主要原因是：1.受宏观经济和市场供需格局改善影响，公司主导产品的市场价格呈现整体上涨趋势，使得公司盈利能力持续修复。2.公司通过精细化管理，积极推进降本增效工作，取得显著成效。3.公司紧抓市场机遇，灵活调整市场策略，凭借渠道与产品优势不断优化产品结构，终端高毛利产品比重进一步提升。,1
600596.SH,20260415,20260331,预增,171.65,201.84,9000.0,10000.0,3313.05,20260415,预计:净利润9000-10000,2026年一季度业绩预增的主要原因是：1.受宏观经济和市场供需格局改善影响，公司主导产品的市场价格呈现整体上涨趋势，使得公司盈利能力持续修复。2.公司通过精细化管理，积极推进降本增效工作，取得显著成效。3.公司紧抓市场机遇，灵活调整市场策略，凭借渠道与产品优势不断优化产品结构，终端高毛利产品比重进一步提升。,0
600596.SH,20250125,20241231,预减,-78.6,-57.21,3000.0,6000.0,14021.96,20250125,预计净利润3000-6000万,2024年度业绩预减的主要原因是：受宏观经济和市场供需变化影响，行业产品价格持续走低。公司受相关行业扩产与低价竞争影响，主导产品草甘膦、有机硅销售价格较上年同期相比均有不同程度下降，导致本期业绩较上年同期较大幅度下降。同时，参股公司北京颖泰嘉和生物科技股份有限公司受产品销售价格持续下跌影响，盈利水平大幅下降，预计全年亏损5-6亿元，对公司投资收益造成较大影响。综上所述，公司本期业绩较上年同期变动幅度较大。,1
600596.SH,20250125,20241231,预减,-78.6,-57.21,3000.0,6000.0,14021.96,20250125,预计:净利润3000-6000,2024年度业绩预减的主要原因是：受宏观经济和市场供需变化影响，行业产品价格持续走低。公司受相关行业扩产与低价竞争影响，主导产品草甘膦、有机硅销售价格较上年同期相比均有不同程度下降，导致本期业绩较上年同期较大幅度下降。同时，参股公司北京颖泰嘉和生物科技股份有限公司受产品销售价格持续下跌影响，盈利水平大幅下降，预计全年亏损5-6亿元，对公司投资收益造成较大影响。综上所述，公司本期业绩较上年同期变动幅度较大。,0
600596.SH,20240127,20231231,预减,-95.26,-94.25,14000.0,17000.0,295458.26,20240127,预计:净利润14000-17000,本期业绩预减的主要原因2023年年度业绩预减的主要原因是：受宏观经济和市场供需变化影响，公司主导产品草甘膦、有机硅销售价格与销量较上年同期相比均有不同程度下降，导致本期业绩较上年同期较大幅度下降。面对行业量价齐跌、出口下滑、竞争加剧等诸多不利影响，公司着力发挥上下游产业协同、终端化高端化应用、全球化布局等经营优势，在降本增效、科技创新、资源资本经营等方面全力突破，努力克服行业整体下行带来的影响，积极稳定经营基本盘。,1
600596.SH,20240127,20231231,预减,-95.26,-94.25,14000.0,17000.0,295458.26,20240127,预计:净利润14000-17000,本期业绩预减的主要原因2023年年度业绩预减的主要原因是：受宏观经济和市场供需变化影响，公司主导产品草甘膦、有机硅销售价格与销量较上年同期相比均有不同程度下降，导致本期业绩较上年同期较大幅度下降。面对行业量价齐跌、出口下滑、竞争加剧等诸多不利影响，公司着力发挥上下游产业协同、终端化高端化应用、全球化布局等经营优势，在降本增效、科技创新、资源资本经营等方面全力突破，努力克服行业整体下行带来的影响，积极稳定经营基本盘。,0
600596.SH,20230715,20230630,预减,-95.29,-95.29,11000.0,11000.0,233351.04,20230715,预计:净利润11000,本期业绩预减的主要原因2023年半年度业绩预减的主要原因是：受市场供需变化影响，公司主导产品草甘膦、有机硅销售价格与销量较上年同期相比均有不同程度下降，导致本期业绩较上年同期较大幅度下降。上半年，面对有机硅行业严峻的整体形势，在基础端产品全行业亏损的背景下，公司积极发挥上下游全产业链优势，通过上游工业硅原材料的自有配套和下游有机硅终端产品结构的持续优化，努力补足基础端产品盈利缺口，实现产业板块价值最大化。针对作物保护行业阶段性供需错配引起的剧烈市场变化，公司积极发挥全球化与平台化销售渠道优势，通过多产品系列协同销售、重点作物整体解决方案输出、制剂转化率提升等方式努力抢占市场份额，克服行业整体下行带来的影响，积极稳定经营基本盘。,1
600596.SH,20230715,20230630,预减,-95.29,-95.29,11000.0,11000.0,233351.04,20230715,预计:净利润11000,本期业绩预减的主要原因2023年半年度业绩预减的主要原因是：受市场供需变化影响，公司主导产品草甘膦、有机硅销售价格与销量较上年同期相比均有不同程度下降，导致本期业绩较上年同期较大幅度下降。上半年，面对有机硅行业严峻的整体形势，在基础端产品全行业亏损的背景下，公司积极发挥上下游全产业链优势，通过上游工业硅原材料的自有配套和下游有机硅终端产品结构的持续优化，努力补足基础端产品盈利缺口，实现产业板块价值最大化。针对作物保护行业阶段性供需错配引起的剧烈市场变化，公司积极发挥全球化与平台化销售渠道优势，通过多产品系列协同销售、重点作物整体解决方案输出、制剂转化率提升等方式努力抢占市场份额，克服行业整体下行带来的影响，积极稳定经营基本盘。,0
600596.SH,20230415,20230331,预减,-92.0,-91.0,10000.0,11000.0,122543.17,20230415,预计:净利润10000-11000,"2023年一季度业绩预减的主要原因是：受市场供需变化影响，公司主导产品草甘膦、有机硅销售价格与销量较上年同期相比均有不同程度下降，导致本期业绩较上年同期较大幅度下降。一季度非经常性损益为5,500万元左右，主要系一季度收到的政府补助。",1
600596.SH,20230415,20230331,预减,-92.0,-91.0,10000.0,11000.0,122543.17,20230415,预计:净利润10000-11000,"2023年一季度业绩预减的主要原因是：受市场供需变化影响，公司主导产品草甘膦、有机硅销售价格与销量较上年同期相比均有不同程度下降，导致本期业绩较上年同期较大幅度下降。一季度非经常性损益为5,500万元左右，主要系一季度收到的政府补助。",0
